group,subgroup,codepoints,status,emoji,name
People & Body,person-activity,1F9D7 1F3FC 200D 2640,minimally-qualified,🧗🏼‍♀,E5.0 woman climbing: medium-light skin tone
People & Body,person-activity,1F9D7 1F3FD 200D 2640 FE0F,fully-qualified,🧗🏽‍♀️,E5.0 woman climbing: medium skin tone
People & Body,person-activity,1F9D7 1F3FD 200D 2640,minimally-qualified,🧗🏽‍♀,E5.0 woman climbing: medium skin tone
People & Body,person-activity,1F9D7 1F3FE 200D 2640 FE0F,fully-qualified,🧗🏾‍♀️,E5.0 woman climbing: medium-dark skin tone
People & Body,person-activity,1F9D7 1F3FE 200D 2640,minimally-qualified,🧗🏾‍♀,E5.0 woman climbing: medium-dark skin tone
People & Body,person-activity,1F9D7 1F3FF 200D 2640 FE0F,fully-qualified,🧗🏿‍♀️,E5.0 woman climbing: dark skin tone
People & Body,person-activity,1F9D7 1F3FF 200D 2640,minimally-qualified,🧗🏿‍♀,E5.0 woman climbing: dark skin tone
People & Body,person-sport,1F93A,fully-qualified,🤺,E3.0 person fencing
People & Body,person-sport,1F3C7,fully-qualified,🏇,E1.0 horse racing
People & Body,person-sport,1F3C7 1F3FB,fully-qualified,🏇🏻,E1.0 horse racing: light skin tone
People & Body,person-sport,1F3C7 1F3FC,fully-qualified,🏇🏼,E1.0 horse racing: medium-light skin tone
People & Body,person-sport,1F3C7 1F3FD,fully-qualified,🏇🏽,E1.0 horse racing: medium skin tone
People & Body,person-sport,1F3C7 1F3FE,fully-qualified,🏇🏾,E1.0 horse racing: medium-dark skin tone
People & Body,person-sport,1F3C7 1F3FF,fully-qualified,🏇🏿,E1.0 horse racing: dark skin tone
People & Body,person-sport,26F7 FE0F,fully-qualified,⛷️,E0.7 skier
People & Body,person-sport,26F7,unqualified,⛷,E0.7 skier
People & Body,person-sport,1F3C2,fully-qualified,🏂,E0.6 snowboarder
People & Body,person-sport,1F3C2 1F3FB,fully-qualified,🏂🏻,E1.0 snowboarder: light skin tone
People & Body,person-sport,1F3C2 1F3FC,fully-qualified,🏂🏼,E1.0 snowboarder: medium-light skin tone
People & Body,person-sport,1F3C2 1F3FD,fully-qualified,🏂🏽,E1.0 snowboarder: medium skin tone
People & Body,person-sport,1F3C2 1F3FE,fully-qualified,🏂🏾,E1.0 snowboarder: medium-dark skin tone
People & Body,person-sport,1F3C2 1F3FF,fully-qualified,🏂🏿,E1.0 snowboarder: dark skin tone
People & Body,person-sport,1F3CC FE0F,fully-qualified,🏌️,E0.7 person golfing
People & Body,person-sport,1F3CC,unqualified,🏌,E0.7 person golfing
People & Body,person-sport,1F3CC 1F3FB,fully-qualified,🏌🏻,E4.0 person golfing: light skin tone
People & Body,person-sport,1F3CC 1F3FC,fully-qualified,🏌🏼,E4.0 person golfing: medium-light skin tone
People & Body,person-sport,1F3CC 1F3FD,fully-qualified,🏌🏽,E4.0 person golfing: medium skin tone
People & Body,person-sport,1F3CC 1F3FE,fully-qualified,🏌🏾,E4.0 person golfing: medium-dark skin tone
People & Body,person-sport,1F3CC 1F3FF,fully-qualified,🏌🏿,E4.0 person golfing: dark skin tone
People & Body,person-sport,1F3CC FE0F 200D 2642 FE0F,fully-qualified,🏌️‍♂️,E4.0 man golfing
People & Body,person-sport,1F3CC 200D 2642 FE0F,unqualified,🏌‍♂️,E4.0 man golfing
People & Body,person-sport,1F3CC FE0F 200D 2642,minimally-qualified,🏌️‍♂,E4.0 man golfing
People & Body,person-sport,1F3CC 200D 2642,unqualified,🏌‍♂,E4.0 man golfing
People & Body,person-sport,1F3CC 1F3FB 200D 2642 FE0F,fully-qualified,🏌🏻‍♂️,E4.0 man golfing: light skin tone
People & Body,person-sport,1F3CC 1F3FB 200D 2642,minimally-qualified,🏌🏻‍♂,E4.0 man golfing: light skin tone
People & Body,person-sport,1F3CC 1F3FC 200D 2642 FE0F,fully-qualified,🏌🏼‍♂️,E4.0 man golfing: medium-light skin tone
People & Body,person-sport,1F3CC 1F3FC 200D 2642,minimally-qualified,🏌🏼‍♂,E4.0 man golfing: medium-light skin tone
People & Body,person-sport,1F3CC 1F3FD 200D 2642 FE0F,fully-qualified,🏌🏽‍♂️,E4.0 man golfing: medium skin tone
People & Body,person-sport,1F3CC 1F3FD 200D 2642,minimally-qualified,🏌🏽‍♂,E4.0 man golfing: medium skin tone
People & Body,person-sport,1F3CC 1F3FE 200D 2642 FE0F,fully-qualified,🏌🏾‍♂️,E4.0 man golfing: medium-dark skin tone
People & Body,person-sport,1F3CC 1F3FE 200D 2642,minimally-qualified,🏌🏾‍♂,E4.0 man golfing: medium-dark skin tone
People & Body,person-sport,1F3CC 1F3FF 200D 2642 FE0F,fully-qualified,🏌🏿‍♂️,E4.0 man golfing: dark skin tone
People & Body,person-sport,1F3CC 1F3FF 200D 2642,minimally-qualified,🏌🏿‍♂,E4.0 man golfing: dark skin tone
People & Body,person-sport,1F3CC FE0F 200D 2640 FE0F,fully-qualified,🏌️‍♀️,E4.0 woman golfing
People & Body,person-sport,1F3CC 200D 2640 FE0F,unqualified,🏌‍♀️,E4.0 woman golfing
People & Body,person-sport,1F3CC FE0F 200D 2640,minimally-qualified,🏌️‍♀,E4.0 woman golfing
People & Body,person-sport,1F3CC 200D 2640,unqualified,🏌‍♀,E4.0 woman golfing
People & Body,person-sport,1F3CC 1F3FB 200D 2640 FE0F,fully-qualified,🏌🏻‍♀️,E4.0 woman golfing: light skin tone
People & Body,person-sport,1F3CC 1F3FB 200D 2640,minimally-qualified,🏌🏻‍♀,E4.0 woman golfing: light skin tone
People & Body,person-sport,1F3CC 1F3FC 200D 2640 FE0F,fully-qualified,🏌🏼‍♀️,E4.0 woman golfing: medium-light skin tone
People & Body,person-sport,1F3CC 1F3FC 200D 2640,minimally-qualified,🏌🏼‍♀,E4.0 woman golfing: medium-light skin tone
